trading_day,update_sec,update_msec,instrument_id,volume,turn_over,open_interest,last_price,bid_p1,bid_v1,ask_p1,ask_v1
20250626,09:29:00,000,IF2507,60,70714800,71622,3928.6,3928.4,11,3928.6,4
20250626,09:29:00,000,IF2508,4,4703040,4089,3919.2,3918,1,3919.4,1
20250626,09:29:00,000,IF2509,77,90441120,139199,3915.2,3915,4,3916.8,12
20250626,09:29:00,000,IF2512,7,8168580,39025,3889.8,3888.2,1,3890,2
20250626,09:30:00,000,IF2507,107,126111180,71607,3928.2,3928.2,1,3928.6,1
20250626,09:30:00,000,IF2508,4,4703040,4089,3919.2,3918,1,3919.4,1
20250626,09:30:00,000,IF2509,96,112760700,139189,3915,3914.6,3,3916.6,1
20250626,09:30:00,000,IF2512,12,13999800,39030,3888.2,3887.4,1,3888.2,5
20250626,09:30:00,500,IF2507,155,182686140,71574,3928,3928.4,3,3933.2,1
20250626,09:30:00,500,IF2508,7,8230140,4087,3919,3918,1,3919.2,2
20250626,09:30:00,500,IF2509,137,160928040,139163,3916,3915.4,1,3916.6,4
20250626,09:30:00,500,IF2512,14,16332240,39028,3887.4,3886.2,1,3887,1
20250626,09:30:01,000,IF2507,172,202730040,71567,3928.6,3928.6,8,3932,4
20250626,09:30:01,000,IF2508,10,11757600,4085,3919.8,3918.2,1,3921.4,2
20250626,09:30:01,000,IF2509,183,214972860,139144,3916.6,3915.6,10,3916,1
20250626,09:30:01,000,IF2512,25,29158620,39021,3886.2,3885.8,2,3887.8,1
20250626,09:30:01,500,IF2507,187,220421400,71560,3931.4,3929,5,3931.4,4
20250626,09:30:01,500,IF2508,11,12933120,4084,3918.4,3920.2,1,3920.6,1
20250626,09:30:01,500,IF2509,214,251393220,139134,3916,3915.8,8,3916.6,10
20250626,09:30:01,500,IF2512,28,32656320,39022,3887.2,3885.8,2,3887.2,1
20250626,09:30:02,000,IF2507,208,245185500,71544,3929.6,3929.4,1,3931.2,3
20250626,09:30:02,000,IF2508,13,15285000,4083,3920.2,3918.6,2,3920.2,3
20250626,09:30:02,000,IF2509,241,283115100,139120,3916.2,3916.2,4,3916.4,1
20250626,09:30:02,000,IF2512,31,36154500,39022,3886.2,3886,1,3887.6,2
20250626,09:30:02,500,IF2507,225,265231380,71531,3929.6,3929.6,4,3931,12
20250626,09:30:02,500,IF2508,15,17637120,4081,3920.2,3918.8,2,3920.2,1
20250626,09:30:02,500,IF2509,270,317185860,139095,3915.8,3915.6,2,3916,1
20250626,09:30:02,500,IF2512,32,37320720,39021,3887.4,3886,2,3887.6,2
20250626,09:30:03,000,IF2507,235,277021020,71521,3930,3930.2,1,3930.6,1
20250626,09:30:03,000,IF2508,17,19988400,4080,3918.8,3918,1,3920.2,1
20250626,09:30:03,000,IF2509,291,341853480,139083,3915.8,3915.8,4,3916,9
20250626,09:30:03,000,IF2512,35,40818360,39020,3886,3885.8,2,3886,1
20250626,09:30:03,500,IF2507,266,313570800,71507,3929.6,3929.2,1,3930.4,4
20250626,09:30:03,500,IF2508,17,19988400,4080,3918.8,3920.2,1,3923,2
20250626,09:30:03,500,IF2509,321,377094060,139064,3915.8,3915.4,1,3915.8,8
20250626,09:30:03,500,IF2512,50,58308900,39019,3887.6,3887.6,1,3888,1
20250626,09:30:04,000,IF2507,275,324181440,71505,3929.6,3929.6,1,3930.2,7
20250626,09:30:04,000,IF2508,18,21164460,4079,3920.2,3918,1,3920.2,1
20250626,09:30:04,000,IF2509,340,399412380,139051,3915.6,3915,4,3915.6,10
20250626,09:30:04,000,IF2512,51,59475180,39019,3887.6,3885.2,3,3886,1
20250626,09:30:04,500,IF2507,284,334791540,71504,3929.6,3929.2,2,3929.6,3
20250626,09:30:04,500,IF2508,18,21164460,4079,3920.2,3918.2,3,3920.2,1
20250626,09:30:04,500,IF2509,389,456972780,139034,3915,3915,6,3916.2,2
20250626,09:30:04,500,IF2512,60,69965760,39011,3885.4,3886.2,8,3887.6,7
